sample	Location	Young_Adult	Gender.x	Age	RunNumber	Library	SamplingLocation	Group	Groupv2	Order	sample_id	ID on Supplementary Figure 1b	Origin	Model	Adult_Pups	Cage	Gender	Age (Mice (weeks) - Human (Years))	Strain	SampleType	country_abbreviation	institute_abbreviation	within_group_number	sample_type_abbreviation	institute_full	new_sample_label	Analysis of
Bahti_H4	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	90	Zurich_20	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	4	F	University of Zurich	CH_UZH_4_F	Metagenomics
Bahti_H5	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	91	Zurich_21	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	5	F	University of Zurich	CH_UZH_5_F	Metagenomics
Bahti_H6	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	92	Zurich_22	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	6	F	University of Zurich	CH_UZH_6_F	Metagenomics
Bahti_H7	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	93	Zurich_23	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	7	F	University of Zurich	CH_UZH_7_F	Metagenomics
Bahti_H8	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	94	Zurich_24	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	8	F	University of Zurich	CH_UZH_8_F	Metagenomics
Bahti_H9	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	95	Zurich_25	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	9	F	University of Zurich	CH_UZH_9_F	Metagenomics
W113	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	109	Zurich_26	-	Europe-Switzerland-Zurich	SPF	Adult	11	Female	Unknown	WildMice	Feces	CH	UZH	147	F	University of Zurich	CH_UZH_147_F	Metagenomics
W114	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	110	Zurich_27	-	Europe-Switzerland-Zurich	SPF	Adult	11	Female	Unknown	WildMice	Feces	CH	UZH	158	F	University of Zurich	CH_UZH_158_F	Metagenomics
W115	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	111	Zurich_28	-	Europe-Switzerland-Zurich	SPF	Adult	12	Male	Unknown	WildMice	Feces	CH	UZH	169	F	University of Zurich	CH_UZH_169_F	Metagenomics
W116	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	112	Zurich_29	-	Europe-Switzerland-Zurich	Wild	Adult	11	Female	Unknown	WildMice	Feces	CH	UZH	180	F	University of Zurich	CH_UZH_180_F	Metagenomics
W117	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	113	Zurich_30	-	Europe-Switzerland-Zurich	Wild	Adult	12	Female	Unknown	WildMice	Feces	CH	UZH	191	F	University of Zurich	CH_UZH_191_F	Metagenomics
W118	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	114	Zurich_31	-	Europe-Switzerland-Zurich	Wild	Adult	19	Female	Unknown	WildMice	Feces	CH	UZH	202	F	University of Zurich	CH_UZH_202_F	Metagenomics
W119	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	115	Zurich_32	-	Europe-Switzerland-Zurich	Wild	Adult	19	Female	Unknown	WildMice	Feces	CH	UZH	213	F	University of Zurich	CH_UZH_213_F	Metagenomics
W120	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	116	Zurich_33	-	Europe-Switzerland-Zurich	Wild	Adult	19	Female	Unknown	WildMice	Feces	CH	UZH	225	F	University of Zurich	CH_UZH_225_F	Metagenomics
W121	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	117	Zurich_34	-	Europe-Switzerland-Zurich	Wild	Adult	19	Female	Unknown	WildMice	Feces	CH	UZH	236	F	University of Zurich	CH_UZH_236_F	Metagenomics
W122	Zurich	Young	Male	Unknown	Run4	Nextera	Feces	Zurich_Mus	WildMice	118	Zurich_35	-	Europe-Switzerland-Zurich	Wild	Adult	2	Female	Unknown	WildMice	Feces	CH	UZH	247	F	University of Zurich	CH_UZH_247_F	Metagenomics
W1308	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	206	Zurich_36	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	343	F	University of Zurich	CH_UZH_343_F	Metagenomics
W1309	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	207	Zurich_37	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	344	F	University of Zurich	CH_UZH_344_F	Metagenomics
W1310	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	208	Zurich_38	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	346	F	University of Zurich	CH_UZH_346_F	Metagenomics
W1311	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	209	Zurich_39	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	347	F	University of Zurich	CH_UZH_347_F	Metagenomics
W1312	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	210	Zurich_40	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	348	F	University of Zurich	CH_UZH_348_F	Metagenomics
W1314	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	212	Zurich_41	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	350	F	University of Zurich	CH_UZH_350_F	Metagenomics
W1315	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	213	Zurich_42	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	351	F	University of Zurich	CH_UZH_351_F	Metagenomics
W1317	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	215	Zurich_43	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	353	F	University of Zurich	CH_UZH_353_F	Metagenomics
W1318	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	216	Zurich_44	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	354	F	University of Zurich	CH_UZH_354_F	Metagenomics
W1319	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	217	Zurich_45	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	355	F	University of Zurich	CH_UZH_355_F	Metagenomics
W1321	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	219	Zurich_46	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	358	F	University of Zurich	CH_UZH_358_F	Metagenomics
W1322	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	220	Zurich_47	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	359	F	University of Zurich	CH_UZH_359_F	Metagenomics
W1323	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	221	Zurich_48	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	360	F	University of Zurich	CH_UZH_360_F	Metagenomics
W1324	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	222	Zurich_49	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	361	F	University of Zurich	CH_UZH_361_F	Metagenomics
W1325	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	223	Zurich_50	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	362	F	University of Zurich	CH_UZH_362_F	Metagenomics
W1326	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	224	Zurich_51	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	363	F	University of Zurich	CH_UZH_363_F	Metagenomics
W1327	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	225	Zurich_52	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	364	F	University of Zurich	CH_UZH_364_F	Metagenomics
W1330	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	228	Zurich_53	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	368	F	University of Zurich	CH_UZH_368_F	Metagenomics
W1332	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	230	Zurich_54	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	370	F	University of Zurich	CH_UZH_370_F	Metagenomics
W1333	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	231	Zurich_55	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	371	F	University of Zurich	CH_UZH_371_F	Metagenomics
W1335	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	233	Zurich_56	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	373	F	University of Zurich	CH_UZH_373_F	Metagenomics
W1336	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	234	Zurich_57	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	374	F	University of Zurich	CH_UZH_374_F	Metagenomics
W1337	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	235	Zurich_58	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	375	F	University of Zurich	CH_UZH_375_F	Metagenomics
W1340	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	238	Zurich_59	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	379	F	University of Zurich	CH_UZH_379_F	Metagenomics
W1341	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	239	Zurich_60	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	380	F	University of Zurich	CH_UZH_380_F	Metagenomics
W1343	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	241	Zurich_61	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	382	F	University of Zurich	CH_UZH_382_F	Metagenomics
W1344	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	242	Zurich_62	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	383	F	University of Zurich	CH_UZH_383_F	Metagenomics
W1347	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	245	Zurich_63	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	386	F	University of Zurich	CH_UZH_386_F	Metagenomics
W1350	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	248	Zurich_64	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	390	F	University of Zurich	CH_UZH_390_F	Metagenomics
W1351	Zurich	Adult	Unknown	Unknown	Run5	TruSeq	Feces	Zurich_Mus	WildMice	249	Zurich_65	-	Europe-Switzerland-Zurich	Wild	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	391	F	University of Zurich	CH_UZH_391_F	Metagenomics
